,Team Name,Year,Wins,Losses,OT Losses,Win %,Goals For (GF),Goals Against (GA),Goal Difference
0,Boston Bruins,1990,44,24,0,0.55,299,264,35.0
1,Buffalo Sabres,1990,31,30,0,0.57,292,278,14.0
2,Calgary Flames,1990,46,26,0,0.61,344,263,81.0
3,Chicago Blackhawks,1990,49,23,0,0.57,284,211,73.0
4,Detroit Red Wings,1990,34,38,0,0.51,273,298,-25.0
5,Edmonton Oilers,1990,37,37,0,0.59,272,272,86.0
6,Hartford Whalers,1990,31,38,0,0.54,238,276,24.0
7,Los Angeles Kings,1990,46,24,0,0.51,340,254,8.0
8,Minnesota North Stars,1990,27,39,0,0.62,256,266,32.0
9,Montreal Canadiens,1990,39,30,0,0.52,273,249,37.0
10,New Jersey Devils,1990,32,33,0,0.56,272,264,60.0
11,New York Islanders,1990,25,45,0,0.61,223,290,-67.0
12,New York Rangers,1990,36,31,0,0.51,297,265,21.0
13,Philadelphia Flyers,1990,33,37,0,0.56,252,267,64.0
14,Pittsburgh Penguins,1990,41,33,0,0.56,342,305,60.0
15,Quebec Nordiques,1990,16,50,0,0.57,236,354,30.0
16,St. Louis Blues,1990,47,22,0,0.67,310,250,75.0
17,Toronto Maple Leafs,1990,23,46,0,0.56,241,318,35.0
18,Vancouver Canucks,1990,28,43,0,0.52,243,315,13.0
19,Washington Capitals,1990,37,36,0,0.55,258,258,35.0
20,Winnipeg Jets,1990,26,43,0,0.51,260,288,55.0
21,Boston Bruins,1991,36,32,0,0.5,270,275,7.0
22,Buffalo Sabres,1991,31,37,0,0.51,289,299,64.0
23,Calgary Flames,1991,31,37,0,0.5,296,305,38.0
24,Chicago Blackhawks,1991,36,29,0,0.5,257,236,40.0
25,Detroit Red Wings,1991,43,25,0,0.55,320,256,49.0
26,Edmonton Oilers,1991,36,34,0,0.56,295,297,89.0
27,Hartford Whalers,1991,26,41,0,0.62,247,283,46.0
28,Los Angeles Kings,1991,35,31,0,0.52,287,296,9.0
29,Minnesota North Stars,1991,32,42,0,0.51,246,278,38.0
30,Montreal Canadiens,1991,41,28,0,0.56,267,207,60.0
31,New Jersey Devils,1991,38,31,0,0.5,289,259,99.0
32,New York Islanders,1991,34,35,0,0.5,291,299,51.0
33,New York Rangers,1991,50,25,0,0.69,321,246,4.0
34,Philadelphia Flyers,1991,32,37,0,0.58,252,273,47.0
35,Pittsburgh Penguins,1991,39,32,0,0.6,343,308,68.0
36,Quebec Nordiques,1991,20,48,0,0.62,255,318,39.0
37,San Jose Sharks,1991,17,58,0,0.58,219,359,2.0
38,St. Louis Blues,1991,36,33,0,0.57,279,266,37.0
39,Toronto Maple Leafs,1991,30,43,0,0.76,234,294,64.0
40,Vancouver Canucks,1991,42,26,0,0.5,285,250,46.0
41,Washington Capitals,1991,45,27,0,0.5,330,275,14.0
42,Winnipeg Jets,1991,33,32,0,0.55,251,244,21.0
43,Boston Bruins,1992,51,26,0,0.6,332,268,81.0
44,Buffalo Sabres,1992,38,36,0,0.6,335,297,38.0
45,Calgary Flames,1992,43,30,0,0.58,322,282,35.0
46,Chicago Blackhawks,1992,47,25,0,0.55,279,230,86.0
47,Detroit Red Wings,1992,47,28,0,0.55,369,280,18.0
48,Edmonton Oilers,1992,26,50,0,0.6,242,337,68.0
49,Hartford Whalers,1992,26,52,0,0.54,284,369,14.0
50,Los Angeles Kings,1992,39,35,0,0.58,338,340,37.0
51,Minnesota North Stars,1992,36,38,0,0.51,272,293,3.0
52,Montreal Canadiens,1992,48,30,0,0.55,326,280,14.0
53,New Jersey Devils,1992,40,37,0,0.54,308,299,23.0
54,New York Islanders,1992,40,37,0,0.62,335,297,11.0
55,New York Rangers,1992,34,39,0,0.52,304,308,28.0
56,Ottawa Senators,1992,10,70,0,0.57,202,395,41.0
57,Philadelphia Flyers,1992,36,37,0,0.54,319,319,1.0
58,Pittsburgh Penguins,1992,56,21,0,0.55,367,268,63.0
59,Quebec Nordiques,1992,47,27,0,0.51,351,300,15.0
60,San Jose Sharks,1992,11,71,0,0.52,218,414,5.0
61,St. Louis Blues,1992,37,36,0,0.58,282,278,18.0
62,Tampa Bay Lightning,1992,23,54,0,0.52,245,332,23.0
63,Toronto Maple Leafs,1992,44,29,0,0.55,288,241,51.0
64,Vancouver Canucks,1992,46,29,0,0.5,346,278,43.0
65,Washington Capitals,1992,43,34,0,0.55,325,286,5.0
66,Winnipeg Jets,1992,40,37,0,0.62,322,320,16.0
67,Mighty Ducks of Anaheim,1993,33,46,0,0.55,229,251,13.0
68,Boston Bruins,1993,42,29,0,0.54,289,252,1.0
69,Buffalo Sabres,1993,43,32,0,0.56,282,218,53.0
70,Calgary Flames,1993,42,29,0,0.63,302,256,86.0
71,Chicago Blackhawks,1993,39,36,0,0.58,254,240,144.0
72,Dallas Stars,1993,42,29,0,0.6,286,265,20.0
73,Detroit Red Wings,1993,46,30,0,0.58,356,275,17.0
74,Edmonton Oilers,1993,25,45,0,0.58,261,305,13.0
75,Florida Panthers,1993,33,34,0,0.52,233,233,35.0
76,Hartford Whalers,1993,27,48,0,0.51,227,288,74.0
77,Los Angeles Kings,1993,27,45,0,0.52,294,322,78.0
78,Montreal Canadiens,1993,41,29,0,0.5,283,248,35.0
79,New Jersey Devils,1993,47,25,0,0.52,306,220,30.0
80,New York Islanders,1993,36,36,0,0.5,282,264,12.0
81,New York Rangers,1993,52,24,0,0.55,299,231,29.0
82,Ottawa Senators,1993,14,61,0,0.62,201,397,13.0
83,Philadelphia Flyers,1993,35,39,0,0.5,294,314,72.0
84,Pittsburgh Penguins,1993,44,27,0,0.51,299,285,54.0
85,Quebec Nordiques,1993,34,42,0,0.51,277,292,56.0
86,San Jose Sharks,1993,33,35,0,0.54,252,265,5.0
87,St. Louis Blues,1993,40,33,0,0.52,270,283,20.0
88,Tampa Bay Lightning,1993,30,43,0,0.52,224,251,49.0
89,Toronto Maple Leafs,1993,43,29,0,0.51,280,243,27.0
90,Vancouver Canucks,1993,41,40,0,0.51,279,276,57.0
91,Washington Capitals,1993,39,35,0,0.56,277,263,5.0
92,Winnipeg Jets,1993,24,51,0,0.58,245,344,27.0
93,Mighty Ducks of Anaheim,1994,16,27,0,0.51,125,164,24.0
94,Boston Bruins,1994,27,18,0,0.56,150,127,26.0
95,Buffalo Sabres,1994,22,19,0,0.63,130,119,75.0
96,Calgary Flames,1994,24,17,0,0.55,163,135,54.0
97,Chicago Blackhawks,1994,24,19,0,0.5,156,115,2.0
98,Dallas Stars,1994,17,23,0,0.54,136,135,27.0
99,Detroit Red Wings,1994,33,11,0,0.55,180,117,59.0
100,Edmonton Oilers,1994,17,27,0,0.5,136,183,49.0
101,Florida Panthers,1994,20,22,0,0.51,115,127,40.0
102,Hartford Whalers,1994,19,24,0,0.5,127,141,52.0
103,Los Angeles Kings,1994,16,23,0,0.58,142,174,17.0
104,Montreal Canadiens,1994,18,23,0,0.5,125,148,9.0
105,New Jersey Devils,1994,22,18,0,0.52,136,121,33.0
106,New York Islanders,1994,15,28,0,0.52,126,158,32.0
107,New York Rangers,1994,22,23,0,0.52,139,134,8.0
108,Ottawa Senators,1994,9,34,0,0.56,117,174,34.0
109,Philadelphia Flyers,1994,28,16,0,0.55,150,132,68.0
110,Pittsburgh Penguins,1994,29,16,0,0.52,181,158,43.0
111,Quebec Nordiques,1994,30,13,0,0.52,185,134,4.0
112,San Jose Sharks,1994,19,25,0,0.5,129,161,52.0
113,St. Louis Blues,1994,28,15,0,0.63,178,135,60.0
114,Tampa Bay Lightning,1994,17,28,0,0.56,120,144,35.0
115,Toronto Maple Leafs,1994,21,19,0,0.63,135,146,8.0
116,Vancouver Canucks,1994,18,18,0,0.52,153,148,17.0
117,Washington Capitals,1994,22,18,0,0.65,136,120,5.0
118,Winnipeg Jets,1994,16,25,0,0.71,157,177,28.0
119,Mighty Ducks of Anaheim,1995,35,39,0,0.5,234,247,37.0
120,Boston Bruins,1995,40,31,0,0.51,282,269,9.0
121,Buffalo Sabres,1995,33,42,0,0.51,247,262,1.0
122,Calgary Flames,1995,34,37,0,0.6,241,240,32.0
123,Chicago Blackhawks,1995,40,28,0,0.56,273,220,27.0
124,Colorado Avalanche,1995,47,25,0,0.54,326,240,68.0
125,Dallas Stars,1995,26,42,0,0.63,227,280,14.0
126,Detroit Red Wings,1995,62,13,0,0.55,325,181,35.0
127,Edmonton Oilers,1995,30,44,0,0.54,240,304,17.0
128,Florida Panthers,1995,41,31,0,0.52,254,234,2.0
129,Hartford Whalers,1995,34,39,0,0.5,237,259,48.0
130,Los Angeles Kings,1995,24,40,0,0.51,256,302,34.0
131,Montreal Canadiens,1995,40,32,0,0.58,265,248,58.0
132,New Jersey Devils,1995,37,33,0,0.52,215,202,4.0
133,New York Islanders,1995,22,50,0,0.65,229,315,5.0
134,New York Rangers,1995,41,27,0,0.52,272,237,11.0
135,Ottawa Senators,1995,18,59,0,0.54,191,291,83.0
136,Philadelphia Flyers,1995,45,24,0,0.61,282,208,24.0
137,Pittsburgh Penguins,1995,49,29,0,0.61,362,284,33.0
138,San Jose Sharks,1995,20,55,0,0.58,252,357,34.0
139,St. Louis Blues,1995,32,34,0,0.51,219,248,78.0
140,Tampa Bay Lightning,1995,38,32,0,0.62,238,248,54.0
141,Toronto Maple Leafs,1995,34,36,0,0.6,247,252,51.0
142,Vancouver Canucks,1995,32,35,0,0.51,278,278,21.0
143,Washington Capitals,1995,39,32,0,0.58,234,204,24.0
144,Winnipeg Jets,1995,36,40,0,0.57,275,291,100.0
145,Mighty Ducks of Anaheim,1996,36,33,0,0.62,245,233,69.0
146,Boston Bruins,1996,26,47,0,0.54,234,300,33.0
147,Buffalo Sabres,1996,40,30,0,0.6,237,208,2.0
148,Calgary Flames,1996,32,41,0,0.57,214,239,25.0
149,Chicago Blackhawks,1996,34,35,0,0.5,223,210,25.0
150,Colorado Avalanche,1996,49,24,0,0.51,277,205,54.0
151,Dallas Stars,1996,48,26,0,0.52,252,198,25.0
152,Detroit Red Wings,1996,38,26,0,0.54,253,197,1.0
153,Edmonton Oilers,1996,36,37,0,0.55,252,247,22.0
154,Florida Panthers,1996,35,28,0,0.66,221,201,35.0
155,Hartford Whalers,1996,32,39,0,0.5,226,256,13.0
156,Los Angeles Kings,1996,28,43,0,0.54,214,268,-54.0
157,Montreal Canadiens,1996,31,36,0,0.57,249,276,9.0
158,New Jersey Devils,1996,45,23,0,0.5,231,182,43.0
159,New York Islanders,1996,29,41,0,0.56,240,250,2.0
160,New York Rangers,1996,38,34,0,0.51,258,231,64.0
161,Ottawa Senators,1996,31,36,0,0.52,226,234,23.0
162,Philadelphia Flyers,1996,45,24,0,0.51,274,217,24.0
163,Phoenix Coyotes,1996,38,37,0,0.57,240,243,18.0
164,Pittsburgh Penguins,1996,38,36,0,0.6,285,280,19.0
165,San Jose Sharks,1996,27,47,0,0.52,211,278,35.0
166,St. Louis Blues,1996,36,35,0,0.51,236,239,42.0
167,Tampa Bay Lightning,1996,32,40,0,0.65,217,247,18.0
168,Toronto Maple Leafs,1996,30,44,0,0.5,230,273,49.0
169,Vancouver Canucks,1996,35,40,0,0.56,257,273,39.0
170,Washington Capitals,1996,33,40,0,0.55,214,231,42.0
171,Mighty Ducks of Anaheim,1997,26,43,0,0.5,205,261,43.0
172,Boston Bruins,1997,39,30,0,0.56,221,194,10.0
173,Buffalo Sabres,1997,36,29,0,0.62,211,187,8.0
174,Calgary Flames,1997,26,41,0,0.5,217,252,57.0
175,Carolina Hurricanes,1997,33,41,0,0.5,200,219,76.0
176,Chicago Blackhawks,1997,30,39,0,0.62,192,199,66.0
177,Colorado Avalanche,1997,39,26,0,0.52,231,205,1.0
178,Dallas Stars,1997,49,22,0,0.54,242,167,20.0
179,Detroit Red Wings,1997,44,23,0,0.55,250,196,50.0
180,Edmonton Oilers,1997,35,37,0,0.65,215,224,81.0
181,Florida Panthers,1997,24,43,0,0.5,203,256,45.0
182,Los Angeles Kings,1997,38,33,0,0.55,227,225,31.0
183,Montreal Canadiens,1997,37,32,0,0.61,235,208,9.0
184,New Jersey Devils,1997,48,23,0,0.55,225,166,28.0
185,New York Islanders,1997,30,41,0,0.63,212,225,56.0
186,New York Rangers,1997,25,39,0,0.52,197,231,4.0
187,Ottawa Senators,1997,34,33,0,0.54,193,200,21.0
188,Philadelphia Flyers,1997,42,29,0,0.56,242,193,24.0
189,Phoenix Coyotes,1997,35,35,0,0.57,224,227,38.0
190,Pittsburgh Penguins,1997,40,24,0,0.58,228,188,19.0
191,San Jose Sharks,1997,34,38,0,0.54,210,216,66.0
192,St. Louis Blues,1997,45,29,0,0.5,256,204,13.0
193,Tampa Bay Lightning,1997,17,55,0,0.61,151,269,5.0
194,Toronto Maple Leafs,1997,30,43,0,0.57,194,237,16.0
195,Vancouver Canucks,1997,25,43,0,0.62,224,273,49.0
196,Washington Capitals,1997,40,30,0,0.6,219,202,27.0
197,Mighty Ducks of Anaheim,1998,35,34,0,0.66,215,206,73.0
198,Boston Bruins,1998,39,30,0,0.57,214,181,43.0
199,Buffalo Sabres,1998,37,28,0,0.56,207,175,36.0
200,Calgary Flames,1998,30,40,0,0.52,211,234,53.0
201,Carolina Hurricanes,1998,34,30,0,0.5,210,202,38.0
202,Chicago Blackhawks,1998,29,41,0,0.54,202,248,41.0
203,Colorado Avalanche,1998,44,28,0,0.51,239,205,25.0
204,Dallas Stars,1998,51,19,0,0.57,236,168,6.0
205,Detroit Red Wings,1998,43,32,0,0.56,245,202,42.0
206,Edmonton Oilers,1998,33,37,0,0.54,230,226,18.0
207,Florida Panthers,1998,30,34,0,0.54,210,228,34.0
208,Los Angeles Kings,1998,32,45,0,0.54,189,222,26.0
209,Montreal Canadiens,1998,32,39,0,0.57,184,209,47.0
210,Nashville Predators,1998,28,47,0,0.52,190,261,96.0
211,New Jersey Devils,1998,47,24,0,0.6,248,196,5.0
212,New York Islanders,1998,24,48,0,0.58,194,244,16.0
213,New York Rangers,1998,33,38,0,0.56,217,227,32.0
214,Ottawa Senators,1998,44,23,0,0.66,239,179,13.0
215,Philadelphia Flyers,1998,37,26,0,0.58,231,196,42.0
216,Phoenix Coyotes,1998,39,31,0,0.6,205,197,103.0
217,Pittsburgh Penguins,1998,38,30,0,0.55,242,225,8.0
218,San Jose Sharks,1998,31,33,0,0.5,196,191,24.0
219,St. Louis Blues,1998,37,32,0,0.51,237,209,1.0
220,Tampa Bay Lightning,1998,19,54,0,0.58,179,292,50.0
221,Toronto Maple Leafs,1998,45,30,0,0.58,268,231,1.0
222,Vancouver Canucks,1998,23,47,0,0.58,192,258,66.0
223,Washington Capitals,1998,31,45,0,0.62,200,218,32.0
224,Mighty Ducks of Anaheim,1999,34,33,3,0.5,217,227,21.0
225,Atlanta Thrashers,1999,14,57,4,0.57,170,313,29.0
226,Boston Bruins,1999,24,33,6,0.51,210,248,55.0
227,Buffalo Sabres,1999,35,32,4,0.62,213,204,44.0
228,Calgary Flames,1999,31,36,5,0.52,211,256,60.0
229,Carolina Hurricanes,1999,37,35,0,0.6,217,216,15.0
230,Chicago Blackhawks,1999,33,37,2,0.62,242,245,8.0
231,Colorado Avalanche,1999,42,28,1,0.51,233,201,26.0
232,Dallas Stars,1999,43,23,6,0.6,211,184,66.0
233,Detroit Red Wings,1999,48,22,2,0.67,278,210,31.0
234,Edmonton Oilers,1999,32,26,8,0.48,226,212,59.0
235,Florida Panthers,1999,43,27,6,0.57,244,209,21.0
236,Los Angeles Kings,1999,39,27,4,0.56,245,228,14.0
237,Montreal Canadiens,1999,35,34,4,0.48,196,194,13.0
238,Nashville Predators,1999,28,40,7,0.37,199,240,2.0
239,New Jersey Devils,1999,45,24,5,0.61,251,203,3.0
240,New York Islanders,1999,24,48,1,0.33,194,275,4.0
241,New York Rangers,1999,29,38,3,0.41,218,246,12.0
242,Ottawa Senators,1999,41,28,2,0.58,244,210,35.0
243,Philadelphia Flyers,1999,45,22,3,0.64,237,179,73.0
244,Phoenix Coyotes,1999,39,31,4,0.53,232,228,5.0
245,Pittsburgh Penguins,1999,37,31,6,0.5,241,236,40.0
246,San Jose Sharks,1999,35,30,7,0.49,225,214,1.0
247,St. Louis Blues,1999,51,19,1,0.72,248,165,9.0
248,Tampa Bay Lightning,1999,19,47,7,0.26,204,310,14.0
249,Toronto Maple Leafs,1999,45,27,3,0.6,246,222,14.0
250,Vancouver Canucks,1999,30,29,8,0.45,227,237,15.0
251,Washington Capitals,1999,44,24,2,0.63,227,194,31.0
252,Mighty Ducks of Anaheim,2000,25,41,5,0.35,188,245,29.0
253,Atlanta Thrashers,2000,23,45,2,0.33,211,289,11.0
254,Boston Bruins,2000,36,30,8,0.49,227,249,7.0
255,Buffalo Sabres,2000,46,30,1,0.6,218,184,78.0
256,Calgary Flames,2000,27,36,4,0.4,197,236,16.0
257,Carolina Hurricanes,2000,38,32,3,0.52,212,225,6.0
258,Columbus Blue Jackets,2000,28,39,6,0.38,190,233,13.0
259,Chicago Blackhawks,2000,29,40,5,0.39,210,246,48.0
260,Colorado Avalanche,2000,52,16,4,0.72,270,192,51.0
261,Dallas Stars,2000,48,24,2,0.65,241,187,3.0
262,Detroit Red Wings,2000,49,20,4,0.67,253,202,19.0
263,Edmonton Oilers,2000,39,28,3,0.56,243,222,2.0
264,Florida Panthers,2000,22,38,9,0.32,200,246,35.0
265,Los Angeles Kings,2000,38,28,3,0.55,252,228,26.0
266,Minnesota Wild,2000,25,39,5,0.36,168,210,25.0
267,Montreal Canadiens,2000,28,40,6,0.38,206,232,53.0
268,Nashville Predators,2000,34,36,3,0.47,186,200,-14.0
269,New Jersey Devils,2000,48,19,3,0.69,295,195,26.0
270,New York Islanders,2000,21,51,3,0.28,185,268,27.0
271,New York Rangers,2000,33,43,1,0.43,250,290,6.0
272,Ottawa Senators,2000,48,21,4,0.66,274,205,28.0
273,Philadelphia Flyers,2000,43,25,3,0.61,240,207,62.0
274,Phoenix Coyotes,2000,35,27,3,0.54,214,212,11.0
275,Pittsburgh Penguins,2000,42,28,3,0.58,281,256,13.0
276,San Jose Sharks,2000,40,27,3,0.57,217,192,22.0
277,St. Louis Blues,2000,43,22,5,0.61,249,195,54.0
278,Tampa Bay Lightning,2000,24,47,5,0.32,201,280,31.0
279,Toronto Maple Leafs,2000,37,29,5,0.52,232,207,4.0
280,Vancouver Canucks,2000,36,28,7,0.51,239,238,11.0
281,Washington Capitals,2000,41,27,4,0.57,233,211,23.0
282,Mighty Ducks of Anaheim,2001,29,42,3,0.39,175,198,20.0
283,Atlanta Thrashers,2001,19,47,5,0.27,187,288,49.0
284,Boston Bruins,2001,43,24,9,0.57,236,201,2.0
285,Buffalo Sabres,2001,35,35,1,0.49,213,200,50.0
286,Calgary Flames,2001,32,35,3,0.46,201,220,85.0
287,Carolina Hurricanes,2001,35,26,5,0.53,217,217,4.0
288,Columbus Blue Jackets,2001,22,47,5,0.3,164,255,51.0
289,Chicago Blackhawks,2001,41,27,1,0.59,216,207,16.0
290,Colorado Avalanche,2001,45,28,1,0.61,212,169,13.0
291,Dallas Stars,2001,36,28,5,0.52,215,213,33.0
292,Detroit Red Wings,2001,51,17,4,0.71,251,187,20.0
293,Edmonton Oilers,2001,38,28,4,0.54,205,182,21.0
294,Florida Panthers,2001,22,44,6,0.31,180,250,7.0
295,Los Angeles Kings,2001,40,27,4,0.56,214,190,25.0
296,Minnesota Wild,2001,26,35,9,0.37,195,238,35.0
297,Montreal Canadiens,2001,36,31,3,0.51,207,209,36.0
298,Nashville Predators,2001,28,41,0,0.41,196,230,5.0
299,New Jersey Devils,2001,41,28,4,0.56,205,187,39.0
300,New York Islanders,2001,42,28,4,0.57,239,220,35.0
301,New York Rangers,2001,36,38,4,0.46,227,258,6.0
302,Ottawa Senators,2001,39,27,7,0.53,243,208,7.0
303,Philadelphia Flyers,2001,42,27,3,0.58,234,192,77.0
304,Phoenix Coyotes,2001,40,27,6,0.55,228,210,27.0
305,Pittsburgh Penguins,2001,28,41,5,0.38,198,249,67.0
306,San Jose Sharks,2001,44,27,3,0.59,248,199,10.0
307,St. Louis Blues,2001,43,27,4,0.58,227,188,45.0
308,Tampa Bay Lightning,2001,27,40,4,0.38,178,219,15.0
309,Toronto Maple Leafs,2001,43,25,4,0.6,249,207,27.0
310,Vancouver Canucks,2001,42,30,3,0.56,254,211,19.0
311,Washington Capitals,2001,36,33,2,0.51,228,240,39.0
312,Mighty Ducks of Anaheim,2002,40,27,6,0.55,203,193,9.0
313,Atlanta Thrashers,2002,31,39,5,0.41,226,284,32.0
314,Boston Bruins,2002,36,31,4,0.51,245,237,12.0
315,Buffalo Sabres,2002,27,37,8,0.38,190,219,61.0
316,Calgary Flames,2002,29,36,4,0.42,186,228,18.0
317,Carolina Hurricanes,2002,22,43,6,0.31,171,240,45.0
318,Columbus Blue Jackets,2002,29,42,3,0.39,213,263,51.0
319,Chicago Blackhawks,2002,30,33,6,0.43,207,226,-19.0
320,Colorado Avalanche,2002,42,19,8,0.61,251,194,57.0
321,Dallas Stars,2002,46,17,4,0.69,245,169,76.0
322,Detroit Red Wings,2002,48,20,4,0.67,269,203,66.0
323,Edmonton Oilers,2002,36,26,9,0.51,231,230,1.0
324,Florida Panthers,2002,24,36,9,0.35,176,237,-61.0
325,Los Angeles Kings,2002,33,37,6,0.43,203,221,-18.0
326,Minnesota Wild,2002,42,29,1,0.58,198,178,20.0
327,Montreal Canadiens,2002,30,35,9,0.41,206,234,-28.0
328,Nashville Predators,2002,27,35,7,0.39,183,206,-23.0
329,New Jersey Devils,2002,46,20,6,0.64,216,166,50.0
330,New York Islanders,2002,35,34,2,0.49,224,231,-7.0
331,New York Rangers,2002,32,36,4,0.44,210,231,-21.0
332,Ottawa Senators,2002,52,21,1,0.7,263,182,81.0
333,Philadelphia Flyers,2002,45,20,4,0.65,211,166,45.0
334,Phoenix Coyotes,2002,31,35,5,0.44,204,230,-26.0
335,Pittsburgh Penguins,2002,27,44,5,0.36,189,255,-66.0
336,San Jose Sharks,2002,28,37,8,0.38,214,239,-25.0
337,St. Louis Blues,2002,41,24,6,0.58,253,222,31.0
338,Tampa Bay Lightning,2002,36,25,5,0.55,219,210,9.0
339,Toronto Maple Leafs,2002,44,28,3,0.59,236,208,28.0
340,Vancouver Canucks,2002,45,23,1,0.65,264,208,56.0
341,Washington Capitals,2002,39,29,6,0.53,224,220,4.0
342,Mighty Ducks of Anaheim,2003,29,35,8,0.4,184,213,-29.0
